"yr" "cpue"
1980 1.62868033871826
1981 1.60124763539336
1984 1.42423012159101
1985 1.29604734033199
1988 1.54158778480376
1990 1.1186842273207
1991 1.136725622475
1993 1.16572852860259
1994 1.34194647118763
1995 1.11973820145571
1996 1.26307958569461
1997 0.960135113998561
1998 0.888433069832984
1999 0.983801615508405
2000 0.83180707525014
2001 0.810962774727653
2002 0.743515822519673
2004 0.833291674792995
2005 0.882756727706579
2006 0.786866216720147
2007 0.834826261008039
2008 0.79363213182195
2012 0.987670043548501
2013 0.883482070713394
2014 0.692372159509581
2015 0.653299094850381
2016 0.622277293902263
2017 0.6458822274033
2018 0.527292768610838
