"yq" "pr" "yr" "qtr" "AssessmentAreaName" "pr_7594_m8" "pr_7994_m8" "pr_8000_m8" "ssYr" "target" "pr_7594_m8_q1" "pr_7994_m8_q1" "pr_8000_m8_q1"
"1" 1979.125 2.21723444779549 1979 0.125 "1" 1.25807451367776 1.37322614266193 1.27093620052073 209 "Htrop" 1.87307242956366 2.04451485139531 1.89222143128123
"2" 1979.375 1.69856519935379 1979 0.375 "1" 0.963777912277904 1.05199255725416 0.973630913478644 210 "Htrop" 1.43132441802419 1.5623336202204 1.44595729249639
"3" 1979.625 1.44226287534779 1979 0.625 "1" 0.818350160174862 0.893253795054255 0.82671640825765 211 "Htrop" 1.21230860393333 1.32327127669772 1.22470241165403
"4" 1979.875 1.94829330996179 1979 0.875 "1" 1.1054754091832 1.20665963379423 1.11677702794341 212 "Htrop" 1.63356344468595 1.78308359604382 1.65026387159648
"5" 1980.125 1.34566702004413 1980 0.125 "1" 0.763540988413496 0.833427936806535 0.771346905295189 213 "Htrop" 1.12546548321049 1.22847940038959 1.13697146671166
"6" 1980.375 1.39781508356278 1980 0.375 "1" 0.793130168626573 0.86572541630141 0.801238584895785 214 "Htrop" 1.16615746950407 1.27289592641223 1.17807945983078
"7" 1980.625 1.51211461289846 1980 0.625 "1" 0.857984530295703 0.936515901238069 0.866755972865122 215 "Htrop" 1.25836053844696 1.37353834729389 1.27122514941006
"8" 1980.875 1.91060505886083 1980 0.875 "1" 1.08409082884604 1.18331772165026 1.09517382639377 216 "Htrop" 1.586003742801 1.73117075204644 1.60221795209457
"9" 1981.125 1.32538554915509 1981 0.125 "1" 0.752033138329908 0.820866772575951 0.759721406882824 217 "Htrop" 1.09745929216815 1.19790980115075 1.10867895967219
"10" 1981.375 1.46971230889 1981 0.375 "1" 0.833925162984637 0.910254378722302 0.842450639162852 218 "Htrop" 1.21392379572524 1.3250343070826 1.22633411605372
"11" 1981.625 1.4450611931602 1981 0.625 "1" 0.819937945501065 0.89498691045813 0.828320426006829 219 "Htrop" 1.19057904914477 1.29955281457196 1.20275070887194
"12" 1981.875 1.32118311275346 1981 0.875 "1" 0.749648646181367 0.818264027730754 0.757312537329796 220 "Htrop" 1.08579519623075 1.18517808987483 1.09689561805608
"13" 1982.125 1.31731791027857 1982 0.125 "1" 0.74745550294895 0.815870145978431 0.755096972912346 221 "Htrop" 1.07991208899763 1.17875650151518 1.09095236598887
"14" 1982.375 1.60079632346403 1982 0.375 "1" 0.908303160336301 0.991440198235935 0.917589025902859 222 "Htrop" 1.30902152777441 1.42883633974283 1.32240406178006
"15" 1982.625 1.41903318859964 1982 0.625 "1" 0.805169471552771 0.878866677282328 0.813400969358379 223 "Htrop" 1.15748712241696 1.26343198198245 1.16932047309011
"16" 1982.875 1.59581334910776 1982 0.875 "1" 0.905475785429617 0.988354033549541 0.914732745863575 224 "Htrop" 1.29843021479163 1.41727560330398 1.3117044705122
"17" 1983.125 1.22707925556284 1983 0.125 "1" 0.696253451781424 0.759981568269614 0.703371467258877 225 "Htrop" 0.995914459734271 1.0870705646553 1.00609600284974
"18" 1983.375 0.993841572515965 1983 0.375 "1" 0.563912740152001 0.615527704073018 0.56967779539455 226 "Htrop" 0.804598998227667 0.878243988502603 0.812824663907133
"19" 1983.625 0.950332639844097 1983 0.625 "1" 0.539225463907388 0.588580800084704 0.544738133450512 227 "Htrop" 0.767451392021899 0.837696259870898 0.775297286175283
"20" 1983.875 1.25616993122568 1983 0.875 "1" 0.712759706983021 0.777998641911795 0.720046471038595 228 "Htrop" 1.0118975173652 1.10451655242459 1.02224246024739
"21" 1984.125 1.26608083281153 1984 0.125 "1" 0.718383222667221 0.784136878293866 0.725727477671781 229 "Htrop" 1.01733146098313 1.11044786519879 1.02773195676013
"22" 1984.375 1.12872929565929 1984 0.375 "1" 0.640448988658948 0.699069319588114 0.646996497762321 230 "Htrop" 0.904698234239448 0.987505313056447 0.913947245525877
"23" 1984.625 1.42599995461738 1984 0.625 "1" 0.809122463884452 0.883181487218138 0.817394374359509 231 "Htrop" 1.14010896750385 1.24446320360051 1.15176465589708
"24" 1984.875 1.19552535684154 1984 0.875 "1" 0.67834954638797 0.740438917437142 0.685284524674913 232 "Htrop" 0.953451367835108 1.04072082363422 0.963198797561863
