"","yr","qtr","pr"
"1","1979","0.375",2.45789166156456
"2","1980","0.375",1.68056826326759
"3","1981","0.375",2.1106531992445
"4","1982","0.375",1.25653096871599
"5","1983","0.375",1.6593784732536
"6","1984","0.375",1.76974495560782
"7","1985","0.375",1.20422579532548
"8","1986","0.375",1.02946376741819
"9","1987","0.375",1.33916041272574
"10","1988","0.375",1.66486278949386
"11","1989","0.375",1.44084547878774
"12","1990","0.375",1.0729444666225
"13","1991","0.375",1.12705983595085
"14","1992","0.375",1.04610148602799
"15","1993","0.375",1.12363074060974
"16","1994","0.375",1.34705886257012
"17","1995","0.375",1.13036533187047
"18","1996","0.375",1.1516580494602
"19","1997","0.375",0.911959517422149
"20","1998","0.375",0.815994728476473
"21","1999","0.375",0.826002464119598
"22","2000","0.375",0.830881962852205
"23","2001","0.375",0.887042859472812
"24","2002","0.375",0.961311850448159
"25","2003","0.375",1.12226212371593
"26","2004","0.375",1.06355616627466
"27","2005","0.375",1.14767882783208
"28","2006","0.375",0.845496555801693
"29","2007","0.375",0.851922166864637
"30","2008","0.375",0.767168890327708
"31","2009","0.375",0.880096338046397
"32","2010","0.375",0.938505090467989
"33","2011","0.375",0.997459593463802
"34","2012","0.375",1.01894278033577
"35","2013","0.375",1.19078954441623
"36","2014","0.375",1.0133960742263
"37","2015","0.375",0.996245782677085
"38","2016","0.375",1.00088285890778
"39","2017","0.375",1.19157896095468
"40","2018","0.375",0.874506681090258
