"","yq","pr","ln.cv","ll","ul","yr","qtr"
"1",1954.375,1.1335886029259,0.0777893237097422,0.97328462251305,1.32029530823731,"1954","0.375"
"NA",1954.625,NA,NA,NA,NA,"1954","0.625"
"NA.1",1954.875,NA,NA,NA,NA,"1954","0.875"
"2",1955.125,1.27638219762739,0.0492778669346906,1.15886960180735,1.40581089699766,"1955","0.125"
"3",1955.375,1.04211914640794,0.0453886293171707,0.953414590473991,1.13907666838841,"1955","0.375"
"4",1955.625,1.25167585406045,0.0552101217549699,1.12330080466962,1.39472208790835,"1955","0.625"
"NA.2",1955.875,NA,NA,NA,NA,"1955","0.875"
"5",1956.125,1.12607313916331,0.0495015546973224,1.0219508874082,1.24080396657909,"1956","0.125"
"6",1956.375,1.25118460979887,0.0419499068137312,1.15242563979952,1.35840688868211,"1956","0.375"
"7",1956.625,1.44835843530642,0.0419132231678452,1.33413198798504,1.57236478550485,"1956","0.625"
"NA.3",1956.875,NA,NA,NA,NA,"1956","0.875"
"8",1957.125,0.601641188738403,0.0548306827505398,0.540337042386695,0.669900620523275,"1957","0.125"
"9",1957.375,1.02263091021945,0.054989473828897,0.918144274991329,1.13900833128448,"1957","0.375"
"10",1957.625,1.90823508838459,0.0451710750706233,1.74655184557759,2.08488580614561,"1957","0.625"
"11",1957.875,1.26014881460306,0.049898651439762,1.14273951619161,1.38962118001984,"1957","0.875"
"12",1958.125,1.28269116077442,0.0418827847840186,1.18160074414729,1.39243024522311,"1958","0.125"
"13",1958.375,1.40419502722978,0.0349226624455374,1.31129577013537,1.50367576820086,"1958","0.375"
"14",1958.625,2.06582524899892,0.055094629279364,1.85436869040385,2.30139452930044,"1958","0.625"
"15",1958.875,1.42049635537477,0.0523519626962218,1.28196814422352,1.57399378816481,"1958","0.875"
"16",1959.125,1.19327436940387,0.0391540123283688,1.10512586697335,1.28845388858365,"1959","0.125"
"17",1959.375,1.17027019893379,0.0370349587181625,1.08833188395624,1.25837748457215,"1959","0.375"
"18",1959.625,1.14988574887786,0.0633711159332134,1.0155752506987,1.30195889921767,"1959","0.625"
"NA.4",1959.875,NA,NA,NA,NA,"1959","0.875"
"19",1960.125,1.20728705566724,0.036632996703529,1.12364185464547,1.29715890232795,"1960","0.125"
"20",1960.375,1.197810903639,0.0368225132564931,1.1144082180565,1.28745547424142,"1960","0.375"
"NA.5",1960.625,NA,NA,NA,NA,"1960","0.625"
"21",1960.875,1.35429899275907,0.0499503652662633,1.22799315551133,1.49359607873751,"1960","0.875"
"22",1961.125,0.908851119524864,0.0318131693978271,0.853911436298507,0.967325559008961,"1961","0.125"
"23",1961.375,0.94513855404427,0.0331663960578747,0.885653152751864,1.00861932638676,"1961","0.375"
"NA.6",1961.625,NA,NA,NA,NA,"1961","0.625"
"NA.7",1961.875,NA,NA,NA,NA,"1961","0.875"
"24",1962.125,0.943953490267675,0.0413970545706081,0.870387634391148,1.0237371908573,"1962","0.125"
"25",1962.375,0.846152309895463,0.0388654362737527,0.784089462085002,0.913127603625171,"1962","0.375"
"NA.8",1962.625,NA,NA,NA,NA,"1962","0.625"
"26",1962.875,0.989154969885519,0.0384911379087826,0.917275976268793,1.06666649924614,"1962","0.875"
"27",1963.125,0.699929784120355,0.0345527457437799,0.654097641965713,0.748973350869299,"1963","0.125"
"28",1963.375,0.968127870102701,0.0360704973536523,0.902046436958313,1.03905024671464,"1963","0.375"
"NA.9",1963.625,NA,NA,NA,NA,"1963","0.625"
"NA.10",1963.875,NA,NA,NA,NA,"1963","0.875"
"29",1964.125,0.818752906386952,0.0447186422030665,0.750045444987064,0.893754273420916,"1964","0.125"
"30",1964.375,1.0515506166545,0.0308791685563664,0.989795109079271,1.1171591870312,"1964","0.375"
"31",1964.625,0.629763950639547,0.0545427274753396,0.565913546478408,0.700818412976904,"1964","0.625"
"NA.11",1964.875,NA,NA,NA,NA,"1964","0.875"
"32",1965.125,0.853290067518675,0.0312542118788988,0.802587826478719,0.90719534399184,"1965","0.125"
"33",1965.375,0.96161363585409,0.0309794597340454,0.90496204444657,1.02181167744557,"1965","0.375"
"34",1965.625,0.736561743111927,0.0345707404752525,0.688306624780986,0.788199883429435,"1965","0.625"
"35",1965.875,0.953412132600046,0.040753429354019,0.88021882978531,1.03269171691166,"1965","0.875"
"36",1966.125,0.99233332053173,0.0292411557217966,0.937059137804526,1.05086795412367,"1966","0.125"
"37",1966.375,0.975026819885466,0.0294803309119194,0.920285114969316,1.03302474856139,"1966","0.375"
"38",1966.625,0.703445988610461,0.0448235618339393,0.644282256877117,0.768042660821758,"1966","0.625"
"39",1966.875,1.28895500556995,0.0362319637733229,1.20059488071744,1.38381816636685,"1966","0.875"
"40",1967.125,0.835507599398207,0.0258297713622357,0.794261769763185,0.878895315407527,"1967","0.125"
"41",1967.375,0.714376534880252,0.0309181895070471,0.672371174925535,0.759006115400524,"1967","0.375"
