"","yq","pr","ln.cv","ll","ul","yr","qtr"
"1",1979.125,2.47021125831977,0.0963525433352175,2.04511227815221,2.98367171617734,"1979","0.125"
"2",1979.375,2.6556031339824,0.0959728007274041,2.20023705884008,3.20521280963012,"1979","0.375"
"3",1979.625,1.28824659333099,0.105339414728091,1.04793002217908,1.58367376647722,"1979","0.625"
"4",1979.875,1.38706244347329,0.0998495473964275,1.14051857343174,1.68690126308516,"1979","0.875"
"5",1980.125,1.42539878868364,0.0952386163634602,1.18268105084953,1.71792868865308,"1980","0.125"
"6",1980.375,2.29560039439232,0.0935810495031211,1.91090234422542,2.75774488772753,"1980","0.375"
"7",1980.625,1.96181280360101,0.104847832069813,1.59738384593427,2.40938299593348,"1980","0.625"
"8",1980.875,2.13171551095245,0.0895827357816916,1.78844208557222,2.54087680909238,"1980","0.875"
"9",1981.125,1.63952886475534,0.0869869183114875,1.38252918304555,1.94430246488139,"1981","0.125"
"10",1981.375,2.27667649450224,0.0930277194049857,1.89720617846093,2.73204669026738,"1981","0.375"
"11",1981.625,1.45701417193661,0.0961988143079769,1.20663992812858,1.75934033652989,"1981","0.625"
"12",1981.875,2.07812567364455,0.100937954610689,1.7051071920296,2.53274769800259,"1981","0.875"
"13",1982.125,1.52475384776548,0.0922237567606657,1.27261574300233,1.82684703458944,"1982","0.125"
"14",1982.375,2.63504785906951,0.0941597126118194,2.19097863200558,3.16912137715871,"1982","0.375"
"15",1982.625,1.29812616959676,0.0930883593640174,1.08162942638513,1.55795646002694,"1982","0.625"
"16",1982.875,1.64152871496386,0.0980223927949081,1.35459709202142,1.98923837790749,"1982","0.875"
"17",1983.125,1.9506072822623,0.0932856085345853,1.62466389113868,2.34194210283581,"1983","0.125"
"18",1983.375,2.23660842467878,0.0932911805122262,1.86285435060846,2.6853507058725,"1983","0.375"
"19",1983.625,1.14601377314,0.100505008359227,0.941105359956589,1.39553723112061,"1983","0.625"
"20",1983.875,1.49158017598547,0.104489490779717,1.21535556111002,1.83058480380908,"1983","0.875"
"21",1984.125,1.17628723172487,0.0970829825320738,0.972466568012687,1.42282696087595,"1984","0.125"
"22",1984.375,1.73764455531633,0.0918858084769999,1.45126313917715,2.080538338714,"1984","0.375"
"23",1984.625,1.39431874344033,0.122762206498994,1.096136818677,1.77361504985803,"1984","0.625"
"24",1984.875,1.83899521519568,0.118502047756163,1.45783918648159,2.31980552647553,"1984","0.875"
"25",1985.125,1.27186651457825,0.0929073323803953,1.06012534016936,1.52589922116851,"1985","0.125"
"26",1985.375,1.40229320343058,0.0892515258338193,1.17724375851128,1.67036453934934,"1985","0.375"
"27",1985.625,1.74008857080922,0.104404434794068,1.41807926045805,2.13521790966948,"1985","0.625"
"28",1985.875,1.63142472933552,0.0999417499748266,1.34120420407967,1.98444550008984,"1985","0.875"
"29",1986.125,1.32002966317272,0.0911623786055265,1.10403974308649,1.57827498744252,"1986","0.125"
"30",1986.375,1.81627704332048,0.0840660490336682,1.54036495071236,2.14161085434163,"1986","0.375"
"31",1986.625,1.27650509255496,0.117345282176984,1.01422948293149,1.60660410562016,"1986","0.625"
"32",1986.875,1.52679081445052,0.105647203509714,1.2412258832489,1.87805477032823,"1986","0.875"
"33",1987.125,1.29332509122417,0.0863470918800605,1.09196212439042,1.53182033902849,"1987","0.125"
"34",1987.375,1.69339395605253,0.0875821151943414,1.42628594926231,2.01052467205357,"1987","0.375"
"35",1987.625,0.953454854854206,0.115537527023911,0.760243308023565,1.19577002605708,"1987","0.625"
"36",1987.875,0.882643317597139,0.121150053491834,0.696081722148467,1.11920655479116,"1987","0.875"
"37",1988.125,1.86238645286,0.0888599516362276,1.56469857138711,2.21671021065841,"1988","0.125"
"38",1988.375,2.09541765015895,0.0905861158417556,1.75453541686796,2.50252863885511,"1988","0.375"
