"","yr","qtr","pr"
"1","1979","0.375",1.79488560293165
"2","1980","0.375",1.50984708865849
"3","1981","0.375",1.35863218580662
"4","1982","0.375",1.45153683767944
"5","1983","0.375",1.07515249460408
"6","1984","0.375",1.22238050479937
"7","1985","0.375",1.35451872644321
"8","1986","0.375",1.44655713211219
"9","1987","0.375",1.67496396286395
"10","1988","0.375",1.35393544919345
"11","1989","0.375",0.879777073917272
"12","1990","0.375",0.896263916937749
"13","1991","0.375",1.08848530060254
"14","1992","0.375",1.03261153735717
"15","1993","0.375",0.911798552213662
"16","1994","0.375",1.08266528957239
"17","1995","0.375",1.07164190949544
"18","1996","0.375",1.2661998213208
"19","1997","0.375",0.955428121010338
"20","1998","0.375",0.914519996192641
"21","1999","0.375",1.03184155862289
"22","2000","0.375",0.924352600883789
"23","2001","0.375",0.800275709062648
"24","2002","0.375",0.681759935230363
"25","2003","0.375",0.755504232335777
"26","2004","0.375",0.652951388213729
"27","2005","0.375",0.756899334005882
"28","2006","0.375",0.770667720756457
"29","2007","0.375",0.88761298155578
"30","2008","0.375",0.78955698759136
"31","2009","0.375",0.779777734343378
"32","2010","0.375",0.687353357067156
"33","2011","0.375",0.882745589906826
"34","2012","0.375",1.07933052087984
"35","2013","0.375",0.720500958439017
"36","2014","0.375",0.545518916887346
"37","2015","0.375",0.466366162018745
"38","2016","0.375",0.471885881673434
"39","2017","0.375",0.371983822223281
"40","2018","0.375",0.333178897267386
