YrQtr,R1N,R1S,R2,R3
1979,1.620150426,2.078522336,1.61262325,1.082704996
1979.25,2.444391862,1.136767604,1.560075386,3.092370014
1979.5,0.878508804,1.239663655,1.500092156,2.825850028
1979.75,1.610909223,0.948762436,1.391766467,1.434921919
1980,1.441226781,1.646266045,1.207047903,1.515041057
1980.25,2.141162234,1.614390982,1.545355432,1.412580694
1980.5,1.731645012,1.519455493,1.753433029,1.627448775
1980.75,2.229934538,2.071675046,1.327660271,1.173931711
1981,1.814608611,2.28869685,1.212909002,0.668928166
1981.25,1.951079139,1.773735568,1.138282728,1.041686419
1981.5,1.746734821,1.728851803,1.324247533,1.551908723
1981.75,2.009210072,1.806321361,1.454999057,1.198499426
1982,1.67323204,1.691171659,1.793185392,0.82411833
1982.25,2.95436318,1.413042967,1.72055198,2.12450399
1982.5,1.327789306,1.709108716,1.126677449,2.041053418
1982.75,1.575190119,1.372158504,1.607539685,0.907165102
1983,1.810077489,2.00907818,1.74861259,0.89876986
1983.25,1.854325237,0.797248666,1.887546566,0.927359849
1983.5,1.601616032,1.4129776,1.699066143,2.348707977
1983.75,1.23589913,1.340093862,1.547939634,2.39079668
1984,1.07395487,1.385188732,1.297615261,0.669865058
1984.25,1.432603707,1.026039605,0.788242944,1.396141321
1984.5,1.869661122,1.608226312,1.240670511,1.567160343
1984.75,1.52123893,2.379790713,1.269337236,0.934442102
1985,1.253318107,1.49851972,1.29578522,0.750578299
1985.25,1.328926707,0.83801474,1.178161969,1.355734225
1985.5,1.606550843,1.556968378,1.211992913,1.755473505
1985.75,1.465148743,1.419453891,1.534417211,1.138111075
1986,1.180895087,1.952426136,1.490881948,0.66259297
1986.25,1.606823298,1.498974256,1.372175965,0.58847229
1986.5,0.979454563,1.896597892,1.665340142,1.092474347
1986.75,1.278463594,1.805655976,2.468834155,1.193454144
1987,1.424722151,2.609821423,1.87439779,0.928116593
1987.25,1.361195713,1.913675134,1.682992586,2.415738858
1987.5,0.898358628,1.974723115,1.552370601,1.968844206
1987.75,0.95746387,2.165710796,1.756995193,1.314301928
1988,1.783111735,2.065143284,2.308858517,0.89877711
1988.25,1.49414068,0.827335248,1.788558032,1.699866687
1988.5,0.792521393,1.165585835,1.338000658,1.145564952
1988.75,1.146233868,1.269284179,1.694477621,0.995523078
1989,0.951804816,1.100031033,1.690453684,0.930752835
1989.25,1.206814665,0.517288714,1.436140166,1.355883969
1989.5,0.831982767,1.044237505,1.400107263,1.548166624
1989.75,0.803653391,1.171185785,1.733076268,0.652229468
1990,0.96892351,1.477692721,1.533583797,0.739466894
1990.25,1.538059221,1.109351376,1.29203447,0.664832248
1990.5,1.139849535,0.897560998,1.443148848,1.285558694
