"yr" "cpue"
1980 1.63110998138576
1981 1.58769881263382
1984 1.42324825905534
1985 1.28212731047456
1988 1.52173910306409
1990 1.11441667835572
1991 1.1303455163909
1993 1.16079701215594
1994 1.34163955230254
1995 1.12086607973034
1996 1.26408826390226
1997 0.962100887099477
1998 0.889955502822978
1999 0.987021894935281
2000 0.840380067219566
2001 0.81639256271243
2002 0.751796206764513
2004 0.836697216214747
2005 0.893569575540084
2006 0.786940816372311
2007 0.830666990411773
2008 0.794313511899134
2012 0.988394779679226
2013 0.888433415122852
2014 0.698511293712584
2015 0.650467888566825
2016 0.631864766489252
2017 0.65400232387751
2018 0.520413731108176
