"yr" "cpue"
1962 4.07908283079158
1966 2.97428763632379
1967 1.73860874822922
1968 3.49724971649977
1970 1.51375192744362
1975 1.13709596275326
1977 2.05253513810665
1978 1.44108473709534
1979 1.11935333255567
1980 0.864452346572048
1981 0.855149274157325
1982 1.11376249049315
1983 1.08542988659864
1984 1.07309831736405
1985 1.03268860915941
1986 1.13504821641513
1987 1.15778000415933
1988 1.07636240082974
1989 0.815471275723604
1990 0.79763401310973
1991 0.849913975612263
1992 0.777298344018001
1993 0.89612186526737
1994 0.666020957166113
1995 0.708014228482841
1996 0.710426963458548
1997 0.664433642953066
1998 0.628455882295429
1999 0.747719450590412
2000 0.710321553924609
2001 0.759717975446272
2002 0.644794720106913
2003 0.703440389238331
2004 0.719361125705894
2005 0.785161434184991
2006 0.623907863919646
2007 0.545375894588735
2008 0.389967056161579
2009 0.381164084732037
2010 0.427424377609807
2011 0.552387457529238
2012 0.464133918080634
2013 0.404056149688801
2014 0.383868032278335
2015 0.425236666068904
2016 0.451406330220387
2017 0.41994279628977
